Epoch 8: Train Loss=0.811687, Train Acc=9.11%, Val Loss=1.109013, Val Acc=7.29%
Epoch 9: Train Loss=0.794621, Train Acc=8.93%, Val Loss=1.122284, Val Acc=7.53%
Epoch 10: Train Loss=0.772611, Train Acc=9.35%, Val Loss=1.134550, Val Acc=7.05%
Epoch 11: Train Loss=0.757465, Train Acc=9.12%, Val Loss=1.150529, Val Acc=7.29%
Epoch 12: Train Loss=0.735138, Train Acc=9.35%, Val Loss=1.163800, Val Acc=7.36%
Epoch 13: Train Loss=0.713103, Train Acc=9.38%, Val Loss=1.176810, Val Acc=7.49%
Epoch 14: Train Loss=0.689876, Train Acc=9.77%, Val Loss=1.186577, Val Acc=7.37%
Epoch 15: Train Loss=0.679814, Train Acc=9.53%, Val Loss=1.191260, Val Acc=7.48%
Epoch 16: Train Loss=0.667503, Train Acc=9.98%, Val Loss=1.198906, Val Acc=7.55%
Epoch 17: Train Loss=0.659553, Train Acc=9.84%, Val Loss=1.207219, Val Acc=7.24%
Epoch 18: Train Loss=0.647912, Train Acc=9.99%, Val Loss=1.215839, Val Acc=7.65%
Epoch 19: Train Loss=0.636360, Train Acc=10.01%, Val Loss=1.222974, Val Acc=7.38%
Epoch 20: Train Loss=0.627189, Train Acc=10.04%, Val Loss=1.227086, Val Acc=7.49%
Epoch 21: Train Loss=0.620445, Train Acc=10.24%, Val Loss=1.230552, Val Acc=7.38%
Epoch 22: Train Loss=0.618094, Train Acc=9.90%, Val Loss=1.234072, Val Acc=7.20%
Epoch 23: Train Loss=0.612633, Train Acc=10.32%, Val Loss=1.237363, Val Acc=7.20%
Epoch 24: Train Loss=0.608501, Train Acc=10.37%, Val Loss=1.240320, Val Acc=6.97%
Epoch 25: Train Loss=0.607364, Train Acc=10.38%, Val Loss=1.243942, Val Acc=7.44%
Epoch 26: Train Loss=0.599533, Train Acc=9.97%, Val Loss=1.245928, Val Acc=7.39%
Epoch 27: Train Loss=0.596191, Train Acc=10.38%, Val Loss=1.248276, Val Acc=7.35%
Epoch 28: Train Loss=0.596581, Train Acc=10.31%, Val Loss=1.249389, Val Acc=7.18%
Epoch 29: Train Loss=0.588655, Train Acc=10.70%, Val Loss=1.250361, Val Acc=7.21%
Epoch 30: Train Loss=0.593196, Train Acc=10.41%, Val Loss=1.251268, Val Acc=7.21%
Epoch 31: Train Loss=0.591142, Train Acc=10.25%, Val Loss=1.253452, Val Acc=7.14%
Epoch 1: Train Loss=0.998354, Train Acc=8.16%, Val Loss=1.004800, Val Acc=7.73%
Epoch 2: Train Loss=0.973502, Train Acc=8.30%, Val Loss=1.004115, Val Acc=7.29%
Epoch 3: Train Loss=0.957958, Train Acc=8.49%, Val Loss=1.008857, Val Acc=7.45%
Epoch 4: Train Loss=0.938555, Train Acc=8.22%, Val Loss=1.017459, Val Acc=7.39%
Epoch 5: Train Loss=0.919253, Train Acc=8.60%, Val Loss=1.031065, Val Acc=7.74%
Epoch 6: Train Loss=0.895895, Train Acc=8.46%, Val Loss=1.046629, Val Acc=7.87%
Epoch 7: Train Loss=0.864036, Train Acc=8.71%, Val Loss=1.070476, Val Acc=7.99%
Epoch 8: Train Loss=0.833440, Train Acc=8.70%, Val Loss=1.100089, Val Acc=6.97%
Epoch 9: Train Loss=0.795034, Train Acc=9.04%, Val Loss=1.110754, Val Acc=7.39%
Epoch 10: Train Loss=0.774712, Train Acc=8.85%, Val Loss=1.132025, Val Acc=6.86%
Epoch 11: Train Loss=0.753708, Train Acc=9.13%, Val Loss=1.146668, Val Acc=7.31%
Epoch 12: Train Loss=0.727606, Train Acc=9.42%, Val Loss=1.160458, Val Acc=6.83%
Epoch 13: Train Loss=0.713479, Train Acc=9.50%, Val Loss=1.177997, Val Acc=6.80%
Epoch 14: Train Loss=0.690973, Train Acc=9.44%, Val Loss=1.191834, Val Acc=6.86%
Epoch 15: Train Loss=0.662951, Train Acc=9.52%, Val Loss=1.199897, Val Acc=6.89%
Epoch 16: Train Loss=0.652464, Train Acc=9.32%, Val Loss=1.213233, Val Acc=6.95%
Epoch 17: Train Loss=0.644759, Train Acc=10.09%, Val Loss=1.221975, Val Acc=7.15%
Epoch 18: Train Loss=0.632360, Train Acc=10.00%, Val Loss=1.231998, Val Acc=6.88%
Epoch 19: Train Loss=0.620312, Train Acc=9.98%, Val Loss=1.236114, Val Acc=7.06%
Epoch 20: Train Loss=0.613961, Train Acc=9.96%, Val Loss=1.244945, Val Acc=7.34%
Epoch 21: Train Loss=0.600045, Train Acc=10.31%, Val Loss=1.249000, Val Acc=7.11%
Epoch 22: Train Loss=0.595784, Train Acc=10.24%, Val Loss=1.251269, Val Acc=7.18%
Epoch 23: Train Loss=0.592697, Train Acc=10.44%, Val Loss=1.255605, Val Acc=7.45%
Epoch 24: Train Loss=0.590609, Train Acc=10.46%, Val Loss=1.258080, Val Acc=7.45%
Epoch 25: Train Loss=0.580963, Train Acc=10.82%, Val Loss=1.263746, Val Acc=7.48%
Epoch 26: Train Loss=0.574048, Train Acc=10.84%, Val Loss=1.266136, Val Acc=7.47%
Epoch 27: Train Loss=0.571718, Train Acc=10.88%, Val Loss=1.269697, Val Acc=7.62%
Epoch 28: Train Loss=0.572530, Train Acc=10.20%, Val Loss=1.271347, Val Acc=7.69%
Epoch 29: Train Loss=0.564327, Train Acc=10.48%, Val Loss=1.272197, Val Acc=7.57%
Epoch 30: Train Loss=0.565920, Train Acc=10.32%, Val Loss=1.273313, Val Acc=7.68%
Epoch 31: Train Loss=0.563584, Train Acc=10.66%, Val Loss=1.275975, Val Acc=7.66%
Epoch 32: Train Loss=0.560879, Train Acc=10.73%, Val Loss=1.277422, Val Acc=7.64%
Epoch 1: Train Loss=1.007025, Train Acc=7.37%, Val Loss=0.965633, Val Acc=10.22%
Epoch 2: Train Loss=1.004798, Train Acc=7.24%, Val Loss=0.968749, Val Acc=10.03%
Epoch 3: Train Loss=1.000098, Train Acc=7.39%, Val Loss=0.979567, Val Acc=8.09%
Epoch 4: Train Loss=0.998616, Train Acc=7.47%, Val Loss=0.965182, Val Acc=9.66%
Epoch 5: Train Loss=1.000492, Train Acc=7.53%, Val Loss=0.966935, Val Acc=10.03%
Epoch 6: Train Loss=1.004775, Train Acc=7.96%, Val Loss=0.971404, Val Acc=10.77%
Epoch 7: Train Loss=1.005684, Train Acc=7.62%, Val Loss=0.972416, Val Acc=11.13%
Epoch 8: Train Loss=0.997428, Train Acc=8.23%, Val Loss=0.966884, Val Acc=10.03%
Epoch 9: Train Loss=0.997641, Train Acc=8.08%, Val Loss=0.974118, Val Acc=10.77%
Epoch 10: Train Loss=1.000212, Train Acc=7.66%, Val Loss=0.972248, Val Acc=9.85%
Epoch 11: Train Loss=0.991689, Train Acc=8.08%, Val Loss=0.981869, Val Acc=10.40%
Epoch 12: Train Loss=0.986318, Train Acc=7.96%, Val Loss=0.982948, Val Acc=9.56%
Epoch 13: Train Loss=0.987083, Train Acc=8.38%, Val Loss=0.984124, Val Acc=9.56%
Epoch 14: Train Loss=0.986418, Train Acc=8.19%, Val Loss=0.984388, Val Acc=10.29%
Epoch 15: Train Loss=0.982327, Train Acc=7.72%, Val Loss=0.976112, Val Acc=10.29%
Epoch 16: Train Loss=0.979073, Train Acc=8.04%, Val Loss=0.988664, Val Acc=10.11%
Epoch 17: Train Loss=0.967241, Train Acc=8.84%, Val Loss=0.984721, Val Acc=9.56%
Epoch 18: Train Loss=0.968353, Train Acc=8.04%, Val Loss=0.985460, Val Acc=10.11%
Epoch 19: Train Loss=0.961799, Train Acc=7.68%, Val Loss=1.004849, Val Acc=9.19%
Epoch 20: Train Loss=0.962320, Train Acc=7.81%, Val Loss=0.986812, Val Acc=8.27%
Epoch 21: Train Loss=0.958838, Train Acc=8.19%, Val Loss=0.992472, Val Acc=9.38%
Epoch 22: Train Loss=0.950474, Train Acc=8.21%, Val Loss=0.994558, Val Acc=9.01%
Epoch 23: Train Loss=0.947617, Train Acc=8.23%, Val Loss=0.986948, Val Acc=9.01%
Epoch 24: Train Loss=0.945393, Train Acc=8.27%, Val Loss=0.985703, Val Acc=8.64%
Epoch 25: Train Loss=0.942524, Train Acc=7.51%, Val Loss=0.998794, Val Acc=8.64%
Epoch 26: Train Loss=0.934434, Train Acc=8.46%, Val Loss=0.996774, Val Acc=9.01%
Epoch 27: Train Loss=0.946702, Train Acc=7.51%, Val Loss=0.994721, Val Acc=8.09%
Epoch 28: Train Loss=0.936535, Train Acc=8.13%, Val Loss=0.999342, Val Acc=7.72%
Epoch 29: Train Loss=0.927367, Train Acc=8.17%, Val Loss=0.998629, Val Acc=7.90%
Epoch 30: Train Loss=0.921133, Train Acc=7.73%, Val Loss=1.000388, Val Acc=8.09%
Epoch 31: Train Loss=0.926867, Train Acc=7.96%, Val Loss=1.003311, Val Acc=8.27%
Epoch 32: Train Loss=0.923261, Train Acc=7.28%, Val Loss=1.000647, Val Acc=8.46%
Epoch 33: Train Loss=0.918855, Train Acc=8.21%, Val Loss=1.007520, Val Acc=8.27%
Epoch 34: Train Loss=0.919399, Train Acc=8.25%, Val Loss=1.005102, Val Acc=8.46%
Epoch 35: Train Loss=0.915946, Train Acc=7.85%, Val Loss=1.003416, Val Acc=8.64%
Epoch 36: Train Loss=0.913432, Train Acc=7.36%, Val Loss=1.007374, Val Acc=8.64%
Epoch 37: Train Loss=0.917267, Train Acc=7.53%, Val Loss=1.008479, Val Acc=8.82%
Epoch 1: Train Loss=1.002816, Train Acc=7.11%, Val Loss=1.042573, Val Acc=7.54%
Epoch 2: Train Loss=1.000219, Train Acc=8.19%, Val Loss=1.027319, Val Acc=8.82%
Epoch 3: Train Loss=1.002337, Train Acc=7.79%, Val Loss=1.029708, Val Acc=9.19%
Epoch 4: Train Loss=0.996984, Train Acc=8.08%, Val Loss=1.027406, Val Acc=9.74%
Epoch 5: Train Loss=0.994691, Train Acc=8.21%, Val Loss=1.026675, Val Acc=8.64%
Epoch 6: Train Loss=0.993838, Train Acc=7.47%, Val Loss=1.024445, Val Acc=9.01%
Epoch 7: Train Loss=0.990742, Train Acc=8.21%, Val Loss=1.027024, Val Acc=8.46%
Epoch 8: Train Loss=0.994925, Train Acc=7.60%, Val Loss=1.025242, Val Acc=8.82%
